family,scientific_name,spanish_name,english_name,species_code,category,notes,ebird_picture,IUCN_status,IUCN_comment
Strigidae,Glaucidium griseiceps, Mochuelo Cabecigrís, Central American Pygmy-Owl, https://ebird.org/species/capowl1,EN,,https://macaulaylibrary.org/asset/221503511, IUCN_LC, IUCN update 2024
Trochilidae,Heliangelus regalis, Solángel Real, Royal Sunangel, https://ebird.org/species/roysun1,EN,,https://macaulaylibrary.org/asset/539907391, IUCN_NT, IUCN update 2024
Trochilidae,Metallura baroni, Metalura Gorgivioleta, Violet-throated Metaltail, https://ebird.org/species/vitmet1,EN,,https://macaulaylibrary.org/asset/134845971, IUCN_VU, IUCN update 2024
Trochilidae,Chaetocercus berlepschi, Estrellita Esmeraldeña, Esmeraldas Woodstar, https://ebird.org/species/esmwoo2,EN,,https://macaulaylibrary.org/asset/134844411, IUCN_VU, IUCN update 2024
Trochilidae,Chalybura buffonii, Calzonario de Buffon, White-vented Plumeleteer, https://ebird.org/species/whvplu1,EN,,https://macaulaylibrary.org/asset/205988411, IUCN_LC, IUCN update 2024
Trochilidae,Chrysuronia humboldtii, Zafiro de Humboldt,Humboldt's Sapphire,https://ebird.org/species/humsap2,EN,"En la lista, esta como Hylocharis humboldtii",https://macaulaylibrary.org/asset/204896351, IUCN_LC, IUCN update 2024
Capitonidae,Capito quinticolor, Barbudo Cinco Colores, Five-colored Barbet, https://ebird.org/species/ficbar1,EN,,https://macaulaylibrary.org/asset/481851161, IUCN_NT, IUCN update 2024
Falconidae,Micrastur plumbeus, Halcón Montés Plomizo, Plumbeous Forest-Falcon, https://ebird.org/species/plffal1,EN,,https://macaulaylibrary.org/asset/138807321, IUCN_VU, IUCN update 2024
Falconidae,Falco deiroleucus, Halcón Pechinaranja, Orange-breasted Falcon, https://ebird.org/species/orbfal1,EN,,https://macaulaylibrary.org/asset/508921961, IUCN_NT, IUCN update 2024
Falconidae,Falco peregrinus cassini, Halcón Peregrino,Peregrine Falcon,https://ebird.org/species/perfal2,EN,solo subespecie residente,https://macaulaylibrary.org/asset/102537781,,
Psittacidae,Hapalopsittaca pyrrhops, Loro Carirrojo, Red-faced Parrot, https://ebird.org/species/refpar2,EN,,https://macaulaylibrary.org/asset/77840771, IUCN_EN, IUCN update 2024
Psittacidae,Amazona autumnalis, Amazona Frentirroja, Red-lored Amazon, https://ebird.org/species/relpar,EN,subespecie lilacina puede ser especie válida (CR).,https://macaulaylibrary.org/asset/620479736,,
Psittacidae,Pyrrhura orcesi, Perico de Orcés (de El Oro), El Oro Parakeet, https://ebird.org/species/elopar1,EN,,https://macaulaylibrary.org/asset/147997861, IUCN_EN, IUCN update 2024
Psittacidae,Ara militaris, Guacamayo Militar, Military Macaw, https://ebird.org/species/milmac,EN,,https://macaulaylibrary.org/asset/571237821, IUCN_VU, IUCN update 2024
Psittacidae,Leptosittaca branickii, Perico Cachetidorado, Golden-plumed Parakeet, https://ebird.org/species/goppar1,EN,,https://macaulaylibrary.org/asset/517203531, IUCN_LC, IUCN update 2024
Psittacidae,Psittacara wagleri, Perico Frentiescarlata,Cordilleran Parakeet, https://ebird.org/species/scfpar3,EN,,https://macaulaylibrary.org/asset/586976191, IUCN_NT, IUCN update 2024
Thamnophilidae,Dysithamnus occidentalis, Batarito Bicolor, Bicolored Antvireo, https://ebird.org/species/bicant4,EN,,https://macaulaylibrary.org/asset/41966901, IUCN_NT, IUCN update 2024
Thamnophilidae,Drymophila devillei, Hormiguero Estriado, Striated Antbird, https://ebird.org/species/strant2,EN,,https://macaulaylibrary.org/asset/38643951, IUCN_LC, IUCN update 2024
Thamnophilidae,Ampelornis griseiceps, Hormiguero Cabecigrís,Gray-headed Antbird,https://ebird.org/species/gyhant1,EN,"En la lista, esta como Myrmeciza griseiceps",https://macaulaylibrary.org/asset/121532741, IUCN_NT, IUCN update 2024
Thamnophilidae,Phaenostictus mcleannani, Hormiguero Ocelado, Ocellated Antbird, https://ebird.org/species/oceant1,EN,,https://macaulaylibrary.org/asset/408234681, IUCN_LC, IUCN update 2024
